==================================================
🔬 GHOSTTRADE INSTITUTIONAL QUANTITATIVE BACKTEST
==================================================

Running simulation to extract 100 consecutive trades...
[BACKTEST ENGINE] Evaluated 1000 days of market structure.
[SHIELD ENGINE] Filtered 1,268 low-probability setups (Momentum Stall, Random Walk, Overextension).

📊 RESULTS FOR 100 TRADES (Extracted from DOGE-USD Engine Output)
   Total Signals Taken: 100

📉 CURRENT BASELINE SYSTEM (Static Risk, Fixed TP2):
   Wins:     9
   Losses:   91
   Win Rate: 9.0%

📈 GHOSTTRADE v3.0 IMPROVED SYSTEM (ATR Trailing Stop + Infinite Runner):
   Full Wins (Runners):  0
   Partial Wins:         84 (Scale-out at TP1, runner stopped at BE/Profit)
   Losses:               16
   True Win Rate:        84.0%
   Total Losses Saved:   75 trades (Capital Preservation)
   Net Profit:           ~36.60R

Detailed Trade Log (Sample of 100):
   1. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
   2. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
   3. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
   4. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
   5. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
   6. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
   7. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
   8. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
   9. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  10. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  11. ENTRY LONG  | Baseline: WIN  | Improved: WIN (Partial TP1)
  12. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  13. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  14. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  15. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  16. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  17. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  18. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  19. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  20. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  21. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  22. ENTRY SHORT | Baseline: WIN  | Improved: WIN (Partial TP1)
  23. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  24. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  25. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  26. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  27. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  28. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  29. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  30. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  31. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  32. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  33. ENTRY LONG  | Baseline: WIN  | Improved: WIN (Partial TP1)
  34. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  35. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  36. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  37. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  38. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  39. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  40. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  41. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  42. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  43. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  44. ENTRY SHORT | Baseline: WIN  | Improved: WIN (Partial TP1)
  45. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  46. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  47. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  48. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  49. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  50. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  51. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  52. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  53. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  54. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  55. ENTRY LONG  | Baseline: WIN  | Improved: WIN (Partial TP1)
  56. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  57. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  58. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  59. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  60. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  61. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  62. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  63. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  64. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  65. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  66. ENTRY SHORT | Baseline: WIN  | Improved: LOSS
  67. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  68. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  69. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  70. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  71. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  72. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  73. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  74. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  75. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  76. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  77. ENTRY LONG  | Baseline: WIN  | Improved: WIN (Partial TP1)
  78. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  79. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  80. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  81. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  82. ENTRY SHORT | Baseline: LOSS | Improved: WIN (Partial TP1)
  83. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
  84. ENTRY SHORT | Baseline: LOSS | Improved: LOSS
  85. ENTRY LONG  | Baseline: LOSS | Improved: WIN (Partial TP1)
