[BACKTEST] Starting for BTC-USD on 15m...
[DATA] Fetched Multi-TF for BTC-USD (15m: 3000, 1h: 3000, 1d: 3000)
[BACKTEST] Fetched 3000 bars.
[HURST] MEAN_REVERTING | R/S=0.465 DFA=0.412 Mean=0.438 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.461 DFA=0.388 Mean=0.425 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.556 DFA=0.368 Mean=0.462 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.517 DFA=0.453 Mean=0.485 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.537 DFA=0.424 Mean=0.480 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.574 DFA=0.522 Mean=0.548 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.535 DFA=0.457 Mean=0.496 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.542 DFA=0.516 Mean=0.529 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.511 DFA=0.479 Mean=0.495 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.502 DFA=0.419 Mean=0.460 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.604 DFA=0.592 Mean=0.598 Stable=true
[REGIME] TRENDING | Heuristic Score=17.7% | Actionable=false
[HURST] TRENDING | R/S=0.625 DFA=0.587 Mean=0.606 Stable=true
[REGIME] TRENDING | Heuristic Score=26% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.562 DFA=0.492 Mean=0.527 Stable=true
