[BACKTEST] Starting for BTC-USD on 15m...
[DATA] Fetched Multi-TF for BTC-USD (15m: 3000, 1h: 3000, 1d: 3000)
[BACKTEST] Fetched 3000 bars.
[HURST] MEAN_REVERTING | R/S=0.465 DFA=0.412 Mean=0.438 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.631 DFA=0.580 Mean=0.606 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.655 DFA=0.590 Mean=0.622 Stable=true
[REGIME] TRENDING | Heuristic Score=6.1% | Actionable=false
[HURST] TRENDING | R/S=0.649 DFA=0.612 Mean=0.630 Stable=true
[REGIME] TRENDING | Heuristic Score=10.2% | Actionable=false
[HURST] TRENDING | R/S=0.613 DFA=0.611 Mean=0.612 Stable=true
[REGIME] TRENDING | Heuristic Score=1.1% | Actionable=false
[HURST] TRENDING | R/S=0.662 DFA=0.558 Mean=0.610 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.685 DFA=0.577 Mean=0.631 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.677 DFA=0.650 Mean=0.664 Stable=true
[REGIME] TRENDING | Heuristic Score=26.8% | Actionable=false
[HURST] TRENDING | R/S=0.663 DFA=0.583 Mean=0.623 Stable=true
[REGIME] TRENDING | Heuristic Score=6.6% | Actionable=false
[HURST] TRENDING | R/S=0.542 DFA=0.565 Mean=0.553 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.550 DFA=0.553 Mean=0.552 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.531 DFA=0.484 Mean=0.508 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.514 DFA=0.513 Mean=0.514 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.527 DFA=0.544 Mean=0.535 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.433 DFA=0.382 Mean=0.407 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.413 DFA=0.382 Mean=0.398 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.411 DFA=0.319 Mean=0.365 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=12.4% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.489 DFA=0.390 Mean=0.440 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.528 DFA=0.442 Mean=0.485 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.537 DFA=0.457 Mean=0.497 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
